,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,46.4,93,90,26.46,AR,1612330027
1,provideniya,64.3833,-173.3,4.59,91,100,16.11,RU,1612330219
2,torbay,47.6666,-52.7314,30.0,86,90,23.02,CA,1612330247
3,otane,-39.8833,176.6333,73.99,52,0,5.99,NZ,1612330459
4,thompson,55.7435,-97.8558,15.8,92,90,6.91,CA,1612330237
5,jajce,44.3422,17.2656,30.2,100,75,3.44,BA,1612330460
6,urucara,-2.5364,-57.76,75.4,95,92,3.4,BR,1612330460
7,port alfred,-33.5906,26.891,77.0,73,6,8.72,ZA,1612330229
8,vila velha,-20.3297,-40.2925,77.0,83,40,4.61,BR,1612330243
9,olga,43.7444,135.2892,7.81,76,81,14.5,RU,1612330461
10,busselton,-33.65,115.3333,79.0,67,0,7.0,AU,1612330027
11,kwinana,-32.25,115.7667,93.0,45,40,20.71,AU,1612330283
12,hobart,-42.8794,147.3294,66.99,45,20,12.66,AU,1612330197
13,etchojoa,26.9167,-109.6333,63.0,77,85,5.86,MX,1612330462
14,ponta do sol,17.1994,-25.0919,68.0,77,40,24.16,CV,1612330247
15,portland,-38.3333,141.6,63.95,65,6,9.55,AU,1612330372
16,saint george,32.3817,-64.6781,64.4,77,20,17.27,BM,1612330228
17,tuktoyaktuk,69.4541,-133.0374,-41.8,66,1,2.3,CA,1612330033
18,malinyi,-8.9333,36.1333,76.19,87,88,1.74,TZ,1612330463
19,dustlik,40.5247,68.0358,49.14,65,0,1.79,UZ,1612330463
20,luderitz,-26.6481,15.1594,64.62,84,3,7.63,NA,1612330464
21,liepaja,56.5419,21.0367,23.0,86,90,2.3,LV,1612330464
22,los llanos de aridane,28.6585,-17.9182,62.6,72,90,6.91,ES,1612330319
23,jamestown,-15.9387,-5.7168,66.42,84,9,16.24,SH,1612330231
24,pevek,69.7008,170.3133,7.0,90,100,8.75,RU,1612330254
25,vao,-22.6667,167.4833,76.5,83,73,40.67,NC,1612330292
26,severo-kurilsk,50.6789,156.125,19.06,90,99,35.68,RU,1612330231
27,sri aman,1.2376,111.4621,77.0,100,40,6.91,MY,1612330305
28,nabire,-3.3667,135.4833,85.55,63,85,2.82,ID,1612330465
29,husavik,66.0449,-17.3389,8.6,78,0,3.44,IS,1612330275
30,saint-augustin,51.226,-58.6502,25.09,96,100,19.73,CA,1612330438
31,hermanus,-34.4187,19.2345,64.99,91,0,6.24,ZA,1612330217
32,rikitea,-23.1203,-134.9692,77.43,79,55,16.89,PF,1612330209
33,qaanaaq,77.484,-69.3632,-13.02,84,100,1.41,GL,1612330022
34,tuatapere,-46.1333,167.6833,58.15,62,64,7.52,NZ,1612330467
35,nikolskoye,59.7035,30.7861,21.2,93,90,13.42,RU,1612330279
36,klaksvik,62.2266,-6.589,32.0,86,40,10.36,FO,1612330244
37,khatanga,71.9667,102.5,-11.81,90,100,1.77,RU,1612330253
38,salalah,17.0151,54.0924,75.2,41,0,3.44,OM,1612330075
39,gdov,58.7406,27.8122,21.81,98,98,8.99,RU,1612330468
40,oda,35.1833,132.5,39.2,60,75,18.41,JP,1612330468
